"ID","ADDRESS","DOB","SALARY","FNAME","LNAME","POSITION"
"1882","Msaytbeh, Beirut","04/03/2002","9696.87086875","Albert","Hrajli","Delivery"
"1414","Abraj Beirut, Beirut","03/10/1995","8919.931875","Heather","Johnston","Delivery"
"1763","Khaldeh, Lebanon","04/06/1994","12396.11981875","Maddie","Warren","Delivery"
"1853","Chiyah, Lebanon","06/06/1996","12927.4375","Ali","Houssami","Delivery"
"1353","Burj el Branjneh, Lebanon","02/06/2002","14220.18125","Kamil","Abi Haydar","Delivery"
"1345","Sidon, Lebanon","01/01/2001","1939.115625","Mohammad","Yateem","Delivery"
"1267","Sidon, Lebanon","21/07/2002","1809.84125","Khaled","Sidani","Delivery"
"1556","Tripoli, Lebanon","24/06/1975","7239.365","Mohammad","Khalid","Delivery"
"1364","Wara har2ous","24/03/2000","5817.346875","Ali","Khalil","Delivery"
"1111","Beirut, Lebanon","02/02/2002","2872.4766125","Khalid","Atallah","Delivery"
"2002","Beirut, Lebanon","03/03/2003","5817.346875","Joe","Dreugh","Cashier"
"2013","Beirut,Lebanon","03/12/2000","6463.71875","Habib","Normangov","Cashier"
"2102","Beirut, Lebanon","04/06/2002","7239.365","Carla","Zwein","Cashier"
"2351","Sidon, Lebanon","05/05/2001","5817.346875","Juan","Carlos","Cashier"
"2111","Sidon, Lebanon","23/03/2001","1422.018125","Tariq","AlSakka","Cashier"
"2222","Tripoli, Lebanon","31/03/2000","7110.090625","Mohammad","Al Alem","Cashier"
"2336","Jounieh, Lebanon","03/01/2002","5817.346875","Lara","Mansour","Cashier"
"2221","Tripoli, Lebanon","03/03/2003","7756.4625","Larissa","Machtoub","Cashier"
"2277","Aley, Lebanon","23/05/1992","5817.346875","Ilham","El Arab","Cashier"
"2368","Beirut, Lebanon","23/06/2000","5817.346875","Abdulrahman","Kareem","Cashier"
"1","Mazraa, Beirut","06/08/2002","77564.625","Mohammad","Kawas","CEO"
"2","Cola, Beirut","20/03/2001","180984.125","Youssef","Mneimneh","CTO"
"3","Mazraa, Beirut","19/02/2003","58173.46875","Carla","Sweid","COO"
"4","Santona, Beirut","02/07/2002","58173.46875","Louay","Zennidine","HR Manager"
"3001","Beirut, Lebanon","04/03/2000","6463.71875","Joe","Harkous","Helper"
"3200","Ein el Jdide, Lebanon","04/04/2004","6463.71875","Khalid","Omar","Helper"
"3221","Sidon, Lebanon","03/02/2001","6463.71875","Khalid","Ahmad","Helper"
"3209","Tripoli, Lebanon","28/03/2000","6463.71875","Youssef","El Arab","Helper"
"3333","Zahle, Lebanon","13/12/1999","6463.71875","Joe","Wassouf","Helper"
"3111","Hazmieh, Lebanon","01/01/2001","6463.71875","Ahmad","El Enizi","Helper"
"3470","Beirut, Lebanon","04/04/2004","6463.71875","Hadi","Khouwaylid","Helper"
"3274","Ouzai, Lebanon","21/07/2000","6463.71875","Ahmad","Sweidan","Helper"
"3888","Falougha, Lebanon","04/03/2001","6463.71875","Adam","Awar","Helper"
"3330","Beirut, Lebanon","16/04/1993","6463.71875","Ahmad","Khalid","Helper"
"4021","Beirut, Lebanon","03/11/1984","1402.62696875","John","Snow","Sanitization"
"4201","Hazmieh, Lebanon","04/03/1993","2255.83784375","John","Klew","Sanitization"
"4444","Tripoli, Lebanon","01/01/1991","1825.354175","Cezar","Asmar","Sanitization"
"4560","Chouf, Lebanon","07/07/1997","2348.91539375","Joe","Akhdar","Sanitization"
"4400","Beirut, Lebanon","21/12/1991","2388.99045","Ali","Azraa","Sanitization"
"4277","Sidon, Lebanon","01/06/2001","1365.1374","Ahmad","Sidani","Sanitization"
"4500","Beirut, Lebanon","01/03/2005","2563.51085625","Samer","Ghanem","Sanitization"
"4112","Sidon, Lebanon","04/04/2004","2403.21063125","George","Wassouf","Sanitization"
"4213","Beirut, Lebanon","21/03/1991","1666.34669375","Ali","Mohammad","Sanitization"
"4221","Chouf, Lebanon","04/01/1994","2173.10224375","Makram","Shab","Sanitization"
"5958","Beirut, Lebanon","04/03/1995","2076.1464625","Khalid","El Omar","Warehouse"
"5004","Zahle, Lebanon","16/06/1996","2404.503375","Joe","Shakour","Warehouse"
"5960","Tripoli, Lebanon","21/04/1992","1741.32583125","Zamil","El Ashkar","Warehouse"
"5168","Baalbak, Lebanon","06/09/1942","2476.897025","Ali","El Zein","Warehouse"
"5446","Wara Harkous, Lebanon","20/04/1999","2422.6017875","Hadi","Hassoun","Warehouse"
"5549","Khalde, Lebanon","03/02/2001","2527.31403125","Ahmad","Faden","Warehouse"
"5928","Beirut, Lebanon","21/03/2001","2540.24146875","Eisa","Jokhdar","Warehouse"
"5193","Beirut, Lebanon","13/02/2001","2524.72854375","Ahmad","Komdar","Warehouse"
"5579","Zahle, Lebanon","02/01/2000","1328.940575","Jesus","Jokhdar","Warehouse"
"5913","Beirut, Lebanon","02/04/2001","2467.84781875","Omar","El Omar","Warehouse"
"6009","Beirut, Lebanon","16/09/2001","13822.016175","Joe","Khartoum","Customer Service"
"6494","Sidon, Lebanon","27/03/1995","14164.59326875","Ahmad","Daden","Customer Service"
"6986","Khalde, Lebanon","20/01/1995","13507.87944375","Wael","Badr","Customer Service"
